Country,1930Finish,1934Finish,1938Finish,1950Finish,1954Finish,1958Finish,1962Finish,1966Finish,1970Finish,1974Finish,1978Finish,1982Finish,1986Finish,1990Finish,1994Finish,1998Finish,2002Finish,2006Finish,2010Finish,2014Finish,GoalsScored,AllTimeRecord,HighestEverFinish,WorldCupWins,GoalsPerGame,GoalsConceded,GoalsConcededPerGame
Cuba,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,1-1-0,Quarterfinalists-1938,0,1.00,9,4.50
England,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Group Stage,Quarterfinalists,Winners,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Quarterfinalists,Semifinalists,Did Not Qualify,Round of 16,Quarterfinalists,Quarterfinalists,Round of 16,Group Stage,79,28-17-17,Winners-1966,1,1.27,56,0.90
Germany FR,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Winners,Semifinalists,Quarterfinalists,Runners-Up,Third Place,Winners,Group Stage,Runners-Up,Runners-Up,Winners,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,131,36-15-11,Winners-1990,3,2.11,77,1.24
Turkey,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Did Not Qualify,Did Not Qualify,Did Not Qualify,20,5-4-1,Third Place-2002,0,2.00,17,1.70
Korea Republic,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Semifinalists,Group Stage,Round of 16,Group Stage,31,6-17-8,Semifinalists-2002,0,1.00,67,2.16
Scotland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,25,4-12-7,Group Stage-1998,0,1.09,41,1.78
Northern Ireland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,13,3-5-5,Quarterfinalists-1958,0,1.00,23,1.77
Wales,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,1-1-3,Quarterfinalists-1958,0,0.80,4,0.80
Soviet Union,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Quarterfinalists,Semifinalists,Quarterfinalists,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,53,15-10-6,Semifinalists-1966,0,1.71,34,1.10
Colombia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,26,7-9-2,Quarterfinalists-2014,0,1.44,27,1.50
